test_id,row_num,condition,victim,polluter,repo_url,commit,final_status,category,passed,attempts_used,stitches_used,stitch_succeeded,s1_prompt_tok,s1_completion_tok,s1_total_tok,s1_api_sec,a1_compile_sec,a1_stitch_prompt_tok,a1_stitch_completion_tok,a1_stitch_api_sec,a1_stitch_compile_sec,retry_prompt_tok,retry_completion_tok,retry_api_sec,retry_compile_sec,retry_stitch_prompt_tok,retry_stitch_completion_tok,retry_stitch_api_sec,retry_stitch_compile_sec,test_sec,victim_alone_sec,polluter_alone_sec,total_prompt_tok,total_completion_tok,total_tokens,total_api_sec,total_compile_sec,total_elapsed_sec
row06_http-request,6,no_repro,com.github.kevinsawicki.http.HttpRequestTest.singleSslSocketFactory,com.github.kevinsawicki.http.HttpRequestTest.customConnectionFactory,https://github.com/kevinsawicki/http-request,2d62a3e9da726942a93cf16b6e91c0187e6c0136,FIXED,Fixed flakiness,Y,1,0,0,978,155,1133,4.52,8.01,,,,,,,,,,,,,11.97,6.0,5.96,978,155,1133,4.52,8.01,36.46
row06_http-request,6,with_repro,com.github.kevinsawicki.http.HttpRequestTest.singleSslSocketFactory,com.github.kevinsawicki.http.HttpRequestTest.customConnectionFactory,https://github.com/kevinsawicki/http-request,2d62a3e9da726942a93cf16b6e91c0187e6c0136,FIXED,Fixed flakiness,Y,1,0,0,1027,155,1182,6.02,12.03,,,,,,,,,,,,,14.99,7.5,7.44,1027,155,1182,6.02,12.03,47.98
row07_http-request,7,no_repro,com.github.kevinsawicki.http.HttpRequestTest.singleVerifier,com.github.kevinsawicki.http.HttpRequestTest.customConnectionFactory,https://github.com/kevinsawicki/http-request,2d62a3e9da726942a93cf16b6e91c0187e6c0136,FIXED,Fixed flakiness,Y,1,0,0,961,272,1233,6.71,7.7,,,,,,,,,,,,,11.61,5.98,5.8,961,272,1233,6.71,7.7,37.8
row07_http-request,7,with_repro,com.github.kevinsawicki.http.HttpRequestTest.singleVerifier,com.github.kevinsawicki.http.HttpRequestTest.customConnectionFactory,https://github.com/kevinsawicki/http-request,2d62a3e9da726942a93cf16b6e91c0187e6c0136,FIXED,Fixed flakiness,Y,1,0,0,1007,272,1279,6.28,7.87,,,,,,,,,,,,,12.67,6.29,6.03,1007,272,1279,6.28,7.87,39.14
row08_http-request,8,no_repro,com.github.kevinsawicki.http.HttpRequestTest.basicProxyAuthentication,com.github.kevinsawicki.http.HttpRequestTest.customConnectionFactory,https://github.com/kevinsawicki/http-request,2d62a3e9da726942a93cf16b6e91c0187e6c0136,FIXED,Fixed flakiness,Y,2,2,1,1004,304,1308,8.03,7.11,1555,290,6.62,7.13,1575,296,11.03,6.99,1567,282,11.76,7.48,11.92,6.11,5.65,5701,1172,6873,37.44,28.71,89.83000000000001
row08_http-request,8,with_repro,com.github.kevinsawicki.http.HttpRequestTest.basicProxyAuthentication,com.github.kevinsawicki.http.HttpRequestTest.customConnectionFactory,https://github.com/kevinsawicki/http-request,2d62a3e9da726942a93cf16b6e91c0187e6c0136,FIXED,Fixed flakiness,Y,4,3,1,1051,296,1347,10.49,7.83,,,,,5186,878,28.580000000000002,21.73,4785,919,21.31,22.150000000000002,11.98,6.28,5.93,11022,2093,13115,60.379999999999995,51.71000000000001,136.28
row09_http-request,9,no_repro,com.github.kevinsawicki.http.HttpRequestTest.deleteWithEscapedMappedQueryParams,com.github.kevinsawicki.http.HttpRequestTest.customConnectionFactory,https://github.com/kevinsawicki/http-request,2d62a3e9da726942a93cf16b6e91c0187e6c0136,COMPILE_ERROR,Compilation error,N,5,5,0,1055,343,1398,8.03,7.08,1624,350,8.02,7.46,6601,1400,50.050000000000004,27.909999999999997,6596,1416,36.15,27.650000000000002,,,,15876,3509,19385,102.25,70.1,172.35
row09_http-request,9,with_repro,com.github.kevinsawicki.http.HttpRequestTest.deleteWithEscapedMappedQueryParams,com.github.kevinsawicki.http.HttpRequestTest.customConnectionFactory,https://github.com/kevinsawicki/http-request,2d62a3e9da726942a93cf16b6e91c0187e6c0136,FIXED,Fixed flakiness,Y,3,3,1,1106,351,1457,10.23,6.94,1681,350,9.18,7.47,3399,698,19.86,14.36,3398,740,21.98,14.71,11.96,5.87,6.11,9584,2139,11723,61.25,43.480000000000004,128.67000000000002
row10_http-request,10,no_repro,com.github.kevinsawicki.http.HttpRequestTest.deleteWithEscapedVarargsQueryParams,com.github.kevinsawicki.http.HttpRequestTest.customConnectionFactory,https://github.com/kevinsawicki/http-request,2d62a3e9da726942a93cf16b6e91c0187e6c0136,FIXED,Fixed flakiness,Y,2,2,1,1032,329,1361,11.07,7.64,1581,318,7.6,7.17,1605,378,12.63,6.89,1648,366,10.42,7.6,11.56,5.76,5.74,5866,1391,7257,41.720000000000006,29.299999999999997,94.08000000000001
row10_http-request,10,with_repro,com.github.kevinsawicki.http.HttpRequestTest.deleteWithEscapedVarargsQueryParams,com.github.kevinsawicki.http.HttpRequestTest.customConnectionFactory,https://github.com/kevinsawicki/http-request,2d62a3e9da726942a93cf16b6e91c0187e6c0136,FIXED,Fixed flakiness,Y,1,0,0,1084,329,1413,10.28,7.88,,,,,,,,,,,,,12.22,6.21,5.96,1084,329,1413,10.28,7.88,42.550000000000004
row11_marine-api,11,no_repro,net.sf.marineapi.ais.event.AbstractAISMessageListenerTest.testGenericsListenerDefaultConstructorThrows,net.sf.marineapi.nmea.parser.SentenceFactoryTest.testRegisterParserWithAlternativeBeginChar,https://github.com/ktuukkan/marine-api,af0003847db9ba822f67d4f1dceb8de3fe63250a,NOT_FIXED,Did not address flakiness,N,5,1,0,1051,308,1359,9.96,9.71,,,,,7760,1227,37.47,39.43,1627,349,9.33,8.75,,,,10438,1884,12322,56.76,57.89,114.65
row11_marine-api,11,with_repro,net.sf.marineapi.ais.event.AbstractAISMessageListenerTest.testGenericsListenerDefaultConstructorThrows,net.sf.marineapi.nmea.parser.SentenceFactoryTest.testRegisterParserWithAlternativeBeginChar,https://github.com/ktuukkan/marine-api,af0003847db9ba822f67d4f1dceb8de3fe63250a,NOT_FIXED,Did not address flakiness,N,5,5,2,1107,261,1368,9.35,9.12,1617,242,5.5,9.11,7366,967,39.480000000000004,36.73,6483,1172,39.94,38.47,,,,16573,2642,19215,94.27000000000001,93.42999999999999,187.7
row12_marine-api,12,no_repro,net.sf.marineapi.ais.event.AbstractAISMessageListenerTest.testParametrizedConstructor,net.sf.marineapi.nmea.parser.SentenceFactoryTest.testRegisterParserWithAlternativeBeginChar,https://github.com/ktuukkan/marine-api,af0003847db9ba822f67d4f1dceb8de3fe63250a,COMPILE_ERROR,Compilation error,N,5,5,0,988,188,1176,6.37,8.86,1441,185,5.51,8.78,5893,775,28.73,35.61,5946,780,19.73,35.080000000000005,,,,14268,1928,16196,60.34,88.33000000000001,148.67000000000002
row12_marine-api,12,with_repro,net.sf.marineapi.ais.event.AbstractAISMessageListenerTest.testParametrizedConstructor,net.sf.marineapi.nmea.parser.SentenceFactoryTest.testRegisterParserWithAlternativeBeginChar,https://github.com/ktuukkan/marine-api,af0003847db9ba822f67d4f1dceb8de3fe63250a,COMPILE_ERROR,Compilation error,N,4,4,0,1042,183,1225,6.94,8.91,1493,208,5.6,9.11,4573,540,17.14,27.46,4485,549,17.62,27.5,,,,11593,1480,13073,47.3,72.98,120.28
row13_shardingsphere-elasticjob,13,no_repro,org.apache.shardingsphere.elasticjob.cloud.scheduler.mesos.AppConstraintEvaluatorTest.assertExistExecutorOnS0,org.apache.shardingsphere.elasticjob.cloud.scheduler.mesos.AppConstraintEvaluatorTest.assertGetExecutorError,https://github.com/apache/shardingsphere-elasticjob,bdfcaff0c1a702c3ecb44adf46d609a3f0e86c5e,FIXED,Fixed flakiness,Y,2,0,0,982,307,1289,13.44,16.54,,,,,1690,385,9.08,16.6,,,,,25.97,8.59,8.51,2672,692,3364,22.52,33.14,98.73
row13_shardingsphere-elasticjob,13,with_repro,org.apache.shardingsphere.elasticjob.cloud.scheduler.mesos.AppConstraintEvaluatorTest.assertExistExecutorOnS0,org.apache.shardingsphere.elasticjob.cloud.scheduler.mesos.AppConstraintEvaluatorTest.assertGetExecutorError,https://github.com/apache/shardingsphere-elasticjob,bdfcaff0c1a702c3ecb44adf46d609a3f0e86c5e,FIXED,Fixed flakiness,Y,2,1,1,1034,303,1337,11.73,17.25,,,,,1742,299,12.4,16.07,1573,317,6.79,17.08,25.89,8.77,8.65,4349,919,5268,30.92,50.4,124.63
row14_openhtmltopdf,14,no_repro,com.openhtmltopdf.slf4j.Slf4JLoggerTest.testLogger,com.openhtmltopdf.slf4j.Slf4JLoggerTest.testLoggerWarnLevel,https://github.com/danfickle/openhtmltopdf,4a0612fab7b3a55e3e11d485233b063006d03b0f,NOT_FIXED,Did not address flakiness,N,3,1,1,786,210,996,9.87,7.07,,,,,3341,441,11.469999999999999,14.17,1252,230,6.37,6.78,,,,5379,881,6260,27.709999999999997,28.020000000000003,55.730000000000004
row14_openhtmltopdf,14,with_repro,com.openhtmltopdf.slf4j.Slf4JLoggerTest.testLogger,com.openhtmltopdf.slf4j.Slf4JLoggerTest.testLoggerWarnLevel,https://github.com/danfickle/openhtmltopdf,4a0612fab7b3a55e3e11d485233b063006d03b0f,NOT_FIXED,Did not address flakiness,N,4,3,2,834,217,1051,6.02,7.06,1271,222,5.56,7.03,4755,728,23.8,23.23,2640,526,16.35,15.15,,,,9500,1693,11193,51.73,52.47,104.19999999999999
row15_shardingsphere-elasticjob,15,no_repro,io.elasticjob.lite.internal.instance.ShutdownListenerManagerTest.assertIsShutdownAlready,io.elasticjob.lite.internal.instance.ShutdownListenerManagerTest.assertRemoveLocalInstancePath,https://github.com/apache/shardingsphere-elasticjob,b022898ef1b8c984e17efb2a422ee45f6b13e46e,NOT_FIXED,Did not address flakiness,N,5,3,1,888,306,1194,6.98,11.0,,,,,6873,1228,33.36,41.31,4335,872,31.029999999999998,30.91,,,,12096,2406,14502,71.37,83.22,154.59
row15_shardingsphere-elasticjob,15,with_repro,io.elasticjob.lite.internal.instance.ShutdownListenerManagerTest.assertIsShutdownAlready,io.elasticjob.lite.internal.instance.ShutdownListenerManagerTest.assertRemoveLocalInstancePath,https://github.com/apache/shardingsphere-elasticjob,b022898ef1b8c984e17efb2a422ee45f6b13e46e,NOT_FIXED,Did not address flakiness,N,5,4,4,939,289,1228,7.73,11.11,,,,,7498,1408,52.029999999999994,43.84,5970,1235,33.260000000000005,43.95,,,,14407,2932,17339,93.02,98.9,191.92000000000002
row16_shardingsphere-elasticjob,16,no_repro,io.elasticjob.lite.internal.schedule.JobRegistryTest.assertGetCurrentShardingTotalCountIfNull,io.elasticjob.lite.internal.schedule.JobRegistryTest.assertGetCurrentShardingTotalCountIfNotNull,https://github.com/apache/shardingsphere-elasticjob,b022898ef1b8c984e17efb2a422ee45f6b13e46e,FIXED,Fixed flakiness,Y,1,0,0,629,134,763,3.31,10.85,,,,,,,,,,,,,16.48,5.33,5.26,629,134,763,3.31,10.85,41.23
row16_shardingsphere-elasticjob,16,with_repro,io.elasticjob.lite.internal.schedule.JobRegistryTest.assertGetCurrentShardingTotalCountIfNull,io.elasticjob.lite.internal.schedule.JobRegistryTest.assertGetCurrentShardingTotalCountIfNotNull,https://github.com/apache/shardingsphere-elasticjob,b022898ef1b8c984e17efb2a422ee45f6b13e46e,FIXED,Fixed flakiness,Y,1,0,0,687,195,882,10.02,11.24,,,,,,,,,,,,,16.34,5.1,5.1,687,195,882,10.02,11.24,47.8
row17_shardingsphere-elasticjob,17,no_repro,org.apache.shardingsphere.elasticjob.cloud.scheduler.env.BootstrapEnvironmentTest.assertWithoutEventTraceRdbConfiguration,org.apache.shardingsphere.elasticjob.cloud.scheduler.env.BootstrapEnvironmentTest.assertGetEventTraceRdbConfigurationMap,https://github.com/apache/shardingsphere-elasticjob,bdfcaff0c1a702c3ecb44adf46d609a3f0e86c5e,FIXED,Fixed flakiness,Y,1,0,0,837,314,1151,6.63,16.97,,,,,,,,,,,,,24.08,6.43,6.57,837,314,1151,6.63,16.97,60.67999999999999
row17_shardingsphere-elasticjob,17,with_repro,org.apache.shardingsphere.elasticjob.cloud.scheduler.env.BootstrapEnvironmentTest.assertWithoutEventTraceRdbConfiguration,org.apache.shardingsphere.elasticjob.cloud.scheduler.env.BootstrapEnvironmentTest.assertGetEventTraceRdbConfigurationMap,https://github.com/apache/shardingsphere-elasticjob,bdfcaff0c1a702c3ecb44adf46d609a3f0e86c5e,FIXED,Fixed flakiness,Y,1,0,0,894,311,1205,6.75,17.31,,,,,,,,,,,,,25.65,6.67,6.45,894,311,1205,6.75,17.31,62.83
row18_visualee,18,no_repro,de.strullerbaumann.visualee.filter.boundary.FilterContainerTest.testIsOkExcludeFalse,de.strullerbaumann.visualee.filter.boundary.FilterContainerTest.testIsOkExcludeTrue,https://github.com/Thomas-S-B/visualee,88732d9dbe5031dad9c9f85a4c4b35e5f1551f95,FIXED,Fixed flakiness,Y,1,0,0,861,146,1007,6.13,9.51,,,,,,,,,,,,,15.17,5.72,5.65,861,146,1007,6.13,9.51,42.18
row18_visualee,18,with_repro,de.strullerbaumann.visualee.filter.boundary.FilterContainerTest.testIsOkExcludeFalse,de.strullerbaumann.visualee.filter.boundary.FilterContainerTest.testIsOkExcludeTrue,https://github.com/Thomas-S-B/visualee,88732d9dbe5031dad9c9f85a4c4b35e5f1551f95,FIXED,Fixed flakiness,Y,1,0,0,913,146,1059,5.08,9.61,,,,,,,,,,,,,15.25,5.82,5.78,913,146,1059,5.08,9.61,41.54
row19_visualee,19,no_repro,de.strullerbaumann.visualee.filter.entity.ClassFilterTest.testIsOkExcludeFalse,de.strullerbaumann.visualee.filter.entity.ClassFilterTest.testIsOkExcludeTrue,https://github.com/Thomas-S-B/visualee,88732d9dbe5031dad9c9f85a4c4b35e5f1551f95,FIXED,Fixed flakiness,Y,1,0,0,845,138,983,4.58,9.35,,,,,,,,,,,,,15.14,5.8,5.73,845,138,983,4.58,9.35,40.599999999999994
row19_visualee,19,with_repro,de.strullerbaumann.visualee.filter.entity.ClassFilterTest.testIsOkExcludeFalse,de.strullerbaumann.visualee.filter.entity.ClassFilterTest.testIsOkExcludeTrue,https://github.com/Thomas-S-B/visualee,88732d9dbe5031dad9c9f85a4c4b35e5f1551f95,FIXED,Fixed flakiness,Y,1,0,0,897,138,1035,6.82,12.27,,,,,,,,,,,,,18.28,7.49,7.55,897,138,1035,6.82,12.27,52.410000000000004
row20_visualee,20,no_repro,de.strullerbaumann.visualee.filter.entity.PackageFilterTest.testIsOkExcludeFalse,de.strullerbaumann.visualee.filter.entity.PackageFilterTest.testIsOkExcludeTrue,https://github.com/Thomas-S-B/visualee,88732d9dbe5031dad9c9f85a4c4b35e5f1551f95,FIXED,Fixed flakiness,Y,1,0,0,845,138,983,3.63,9.55,,,,,,,,,,,,,14.73,5.66,5.72,845,138,983,3.63,9.55,39.29
row20_visualee,20,with_repro,de.strullerbaumann.visualee.filter.entity.PackageFilterTest.testIsOkExcludeFalse,de.strullerbaumann.visualee.filter.entity.PackageFilterTest.testIsOkExcludeTrue,https://github.com/Thomas-S-B/visualee,88732d9dbe5031dad9c9f85a4c4b35e5f1551f95,FIXED,Fixed flakiness,Y,1,0,0,897,138,1035,5.95,9.59,,,,,,,,,,,,,15.45,5.77,5.77,897,138,1035,5.95,9.59,42.53
row21_aismessages,21,no_repro,dk.tbsalling.aismessages.nmea.NMEAMessageHandlerTest.canHandleFragmentedMessageReceived,dk.tbsalling.aismessages.nmea.NMEAMessageHandlerTest.canFlushUnhandled,https://github.com/tbsalling/aismessages,7b0c4c708b6bb9a6da3d5737bcad1857ade8a931,COMPILE_ERROR,Compilation error,N,5,5,0,1092,523,1615,19.98,6.1,1833,521,14.1,6.25,7866,2177,62.45,24.49,7598,2389,75.58,24.82,,,,18389,5610,23999,172.11,61.66,233.77
row21_aismessages,21,with_repro,dk.tbsalling.aismessages.nmea.NMEAMessageHandlerTest.canHandleFragmentedMessageReceived,dk.tbsalling.aismessages.nmea.NMEAMessageHandlerTest.canFlushUnhandled,https://github.com/tbsalling/aismessages,7b0c4c708b6bb9a6da3d5737bcad1857ade8a931,COMPILE_ERROR,Compilation error,N,5,5,0,1143,523,1666,20.31,6.33,1884,521,13.89,6.63,7908,2307,76.51,26.91,8129,2138,58.900000000000006,26.58,,,,19064,5489,24553,169.61,66.45,236.06
row22_aismessages,22,no_repro,dk.tbsalling.aismessages.nmea.NMEAMessageHandlerTest.canHandleUnfragmentedMessageReceived,dk.tbsalling.aismessages.nmea.NMEAMessageHandlerTest.canFlushUnhandled,https://github.com/tbsalling/aismessages,7b0c4c708b6bb9a6da3d5737bcad1857ade8a931,NOT_FIXED,Did not address flakiness,N,5,4,1,1021,452,1473,10.99,6.12,1691,450,11.77,6.19,6999,1939,66.47,25.66,5200,1435,33.43,19.14,,,,14911,4276,19187,122.66,57.11,179.76999999999998
row22_aismessages,22,with_repro,dk.tbsalling.aismessages.nmea.NMEAMessageHandlerTest.canHandleUnfragmentedMessageReceived,dk.tbsalling.aismessages.nmea.NMEAMessageHandlerTest.canFlushUnhandled,https://github.com/tbsalling/aismessages,7b0c4c708b6bb9a6da3d5737bcad1857ade8a931,NOT_FIXED,Did not address flakiness,N,5,3,0,1073,452,1525,11.44,7.7,,,,,7162,1855,47.68,26.619999999999997,5333,1370,50.45,19.880000000000003,,,,13568,3677,17245,109.57,54.2,163.76999999999998
row23_wikidata-toolkit,23,no_repro,org.wikidata.wdtk.util.DirectoryManagerFactoryTest.createDefaultDirectoryManagerPath,org.wikidata.wdtk.util.DirectoryManagerFactoryTest.createDirectoryManagerNoConstructor,https://github.com/wikidata/wikidata-toolkit,20de6f7f12319f54eb962ff6e8357b3f5695d54d,FIXED,Fixed flakiness,Y,1,0,0,668,209,877,7.32,7.3,,,,,,,,,,,,,12.04,4.63,4.63,668,209,877,7.32,7.3,35.92
row23_wikidata-toolkit,23,with_repro,org.wikidata.wdtk.util.DirectoryManagerFactoryTest.createDefaultDirectoryManagerPath,org.wikidata.wdtk.util.DirectoryManagerFactoryTest.createDirectoryManagerNoConstructor,https://github.com/wikidata/wikidata-toolkit,20de6f7f12319f54eb962ff6e8357b3f5695d54d,FIXED,Fixed flakiness,Y,1,0,0,720,151,871,5.17,9.66,,,,,,,,,,,,,16.2,6.95,6.14,720,151,871,5.17,9.66,44.120000000000005
row24_wikidata-toolkit,24,no_repro,org.wikidata.wdtk.util.DirectoryManagerFactoryTest.createDirectoryManagerIoException,org.wikidata.wdtk.util.DirectoryManagerFactoryTest.createDirectoryManagerNoConstructor,https://github.com/wikidata/wikidata-toolkit,20de6f7f12319f54eb962ff6e8357b3f5695d54d,NOT_FIXED,Did not address flakiness,N,5,2,2,618,147,765,3.38,7.54,,,,,5830,646,29.240000000000002,29.689999999999998,2094,305,11.1,14.86,,,,8542,1098,9640,43.720000000000006,52.089999999999996,95.81
row24_wikidata-toolkit,24,with_repro,org.wikidata.wdtk.util.DirectoryManagerFactoryTest.createDirectoryManagerIoException,org.wikidata.wdtk.util.DirectoryManagerFactoryTest.createDirectoryManagerNoConstructor,https://github.com/wikidata/wikidata-toolkit,20de6f7f12319f54eb962ff6e8357b3f5695d54d,NOT_FIXED,Did not address flakiness,N,5,1,1,670,147,817,3.48,7.6,,,,,5975,627,22.74,29.47,1111,147,3.54,7.43,,,,7756,921,8677,29.759999999999998,44.5,74.25999999999999
row25_Universal-G-Code-Sender,25,no_repro,com.willwinder.universalgcodesender.GrblControllerTest.rawResponseHandlerOnErrorWithNoSentCommandsShouldSendMessageToConsole,com.willwinder.universalgcodesender.i18n.LocalizationTest.loadLocalizationThatDoesExistShouldLoad,https://github.com/winder/Universal-G-Code-Sender,4426f71c900ddd4a1eeb3957f3275cedc6312534,NOT_FIXED,Did not address flakiness,N,5,2,0,1146,227,1373,5.35,13.34,,,,,7263,1077,26.500000000000004,49.989999999999995,3266,493,15.559999999999999,24.41,,,,11675,1797,13472,47.41,87.74,135.14999999999998
row25_Universal-G-Code-Sender,25,with_repro,com.willwinder.universalgcodesender.GrblControllerTest.rawResponseHandlerOnErrorWithNoSentCommandsShouldSendMessageToConsole,com.willwinder.universalgcodesender.i18n.LocalizationTest.loadLocalizationThatDoesExistShouldLoad,https://github.com/winder/Universal-G-Code-Sender,4426f71c900ddd4a1eeb3957f3275cedc6312534,FIXED,Fixed flakiness,Y,3,1,0,1207,373,1580,8.72,12.94,,,,,4078,820,24.14,25.28,1862,397,9.0,12.37,23.17,9.8,9.11,7147,1590,8737,41.86,50.589999999999996,134.52999999999997
row26_jnr-posix,26,no_repro,jnr.posix.GroupTest.getgroups,jnr.posix.EnvTest.testSetenvOverwrite,https://github.com/jnr/jnr-posix,dbda72ce198a8dd766c30c591d63d726d2a28a7c,COMPILE_ERROR,Compilation error,N,5,5,0,975,357,1332,13.46,8.56,1553,374,9.84,8.24,6377,1492,42.32,34.49,6380,1408,40.37,34.260000000000005,,,,15285,3631,18916,105.99000000000001,85.55000000000001,191.54000000000002
row26_jnr-posix,26,with_repro,jnr.posix.GroupTest.getgroups,jnr.posix.EnvTest.testSetenvOverwrite,https://github.com/jnr/jnr-posix,dbda72ce198a8dd766c30c591d63d726d2a28a7c,NOT_FIXED,Did not address flakiness,N,5,0,0,1024,283,1307,11.7,8.89,,,,,8070,1338,40.68,35.44,,,,,,,,9094,1621,10715,52.379999999999995,44.33,96.71
row27_cukes,27,no_repro,lv.ctco.cukes.http.facade.HttpAssertionFacadeImplTest.shouldReturnBodyWhenEnabledAndNoMax,lv.ctco.cukes.http.facade.HttpAssertionFacadeImplTest.shouldNotReturnBodyWhenEnabledButLongerThanMaxSize,https://github.com/ctco/cukes,b483e1a8f261b80a66291a42fc455256b0b5059c,FIXED,Fixed flakiness,Y,1,0,0,939,342,1281,13.11,6.18,,,,,,,,,,,,,13.4,6.98,7.33,939,342,1281,13.11,6.18,47.0
